
// E = stone/default
// G = glass-breakable
// W = WOOD
// S = snow
// R = grass
// P = plaster
// M = Metal
// C = Carpet
// U = glass-unbreakable
// D = Sand
// I = Dirt
// N = No Effects

// M missile/plate_dmetal // sample


////////////////////////////////////////
//SKY
///////////////////////////////////////

N special/sky
P romania/emb_frost_grad_128
P romania/emb_stairwell_wall
W romania/floor_mtower_02
U romania/glass_frostwindow
E romania/gound_stair
E romania/gound_stair2
R romania/grass_rough_128x128
R romania/grass1
E romania/grndcobblemid_01a
E romania/ground_climb
E romania/ground_climb_1
E romania/ground_climb_edge
E romania/ground_crete_basicdark
E romania/ground_crete_tile
E romania/ground_dirty
E romania/ground_dirty2
E romania/ground_drain
E romania/ground_pave_edge
E romania/ground_pave_top
E romania/ground_stair
E romania/ground_step
E romania/ground_steps
E romania/ground_steps_side
E romania/ground_stone
E romania/ground_stone2
E romania/ground_tiled
E romania/ground_tiled_cornerSW
E romania/ground_tiled_edgeN
E romania/ground_tiled2
P romania/indoor_wall_1
P romania/indoor_wall_1w2
P romania/light_32yellow_01
P romania/light_flores_small
E romania/market_fruit
M romania/metal_crate05a_rev01a_128x128
M romania/metal_dark
M romania/metal_dia_floor
M romania/metal_edgefile
M romania/metal_electricbar_01
M romania/metal_elevator_sm
M romania/metal_gray
M romania/metal_trim_05
M romania/metal02seam
E romania/mus_stair_side
E romania/mus_stair_top
M romania/object_metalcab
E romania/PaintingB_Mirao_256
P romania/plaster_beige_12_032x032
P romania/plaster_brown_05_032x032
P romania/plaster_faint_03_032x032
P romania/plaster_offtan_02_032x032
P romania/plaster_offwhite
P romania/plaster_offwhite_10_064x064
P romania/plaster_rose_08_032x032
U romania/restaurant_orient_glass
M romania/sign_basic
E romania/stall_top_1
E romania/stall_top_1b
E romania/stall_top_1edge
E romania/stone_ext_col_top
E romania/stone_ext_mid_sec
E romania/stone_ext_rail
E romania/stone_ext_trim_bot
E romania/Stonetiles_Ybilbao
E romania/trim_52_03
M romania/trim_metalgreyshadow
M romania/trim_moldingmetal
P romania/trim_plastergroves
E romania/trim_stone_2tone
E romania/trim_whitewindowline
E romania/trim_whitewindowtrim
P romania/Wall_64_terracotta
P romania/wall_apt05concuprights_01b
P romania/wall_apt05concuprights_01bb
P romania/wall_apt05concuprights_01bbb
P romania/wall_apt05concuprights_01bbbb
P romania/wall_apt05concuprights_01c
P romania/wall_apt05concuprights_01cc
P romania/wall_apt05concuprights_01d
P romania/wall_apt05concuprights_01dd
E romania/wall_apt33lowerbrick01_01a
E romania/wall_apt33lowerbrick01_01b
E romania/wall_apt33lowerbrick01_01c
E romania/wall_apt33lowerbrick01_base01
E romania/wall_apt33lowerbrick01_base01c
E romania/wall_apt33lowerbrick01_base01d
E romania/wall_apt33lowerbrick01_base02a
E romania/wall_apt33lowerbrick01_base02b
E romania/wall_aptwhsebrick_04c
E romania/wall_aptwhsebrick_07
E romania/wall_brickwall01b
E romania/wall_brickwall01c
E romania/wall_concrete_light
E romania/wall_concrete_lightd
W romania/wall_door~1side
P romania/WALL_GENdark
P romania/WALL_GENlight
P romania/wall_mt_stairwell_01r2
P romania/wall_mtcorrodedsmall_01
P romania/wall_paper_1
P romania/wall_paper_2
P romania/wall_paper_2wndw
P romania/wall_paper_2wndw2
P romania/wallbasefooter_01
P romania/wallconbase_00
P romania/wallconbase_01
P romania/wallconbase00
P romania/wallpen2p30wallbase_02bb
U romania/window_bars
U romania/window_caviar_05t
M romania/wires_1
W romania/wood_darkbrown3
W romania/wood_door
W romania/wood_interior_02
W romania/wood_interior_02_32
W romania/wood_plank01railtoppoopnone_02a
W romania/wood_planks_04
W romania/wood_planks_04a
W romania/wood_planks_dm
W romania/wood_planks_dm_064x064

/////////////////////////////////////
//knox
/////////////////////////////////////

E knox/brick_grey2
E knox/brick_paint1
E knox/brick_paint2
E knox/ctf_bconcrete_1
E knox/ctf_bconcrete_2
W knox/door_painted_blue
W knox/door_painted_brown
W knox/door_painted_non
M knox/gold_front
M knox/gold_side
M knox/gold_top
R knox/grass_rough
E knox/marble_dark
E knox/marble_dark_edge
E knox/marble_dark_edge_split
E knox/marble_dark_usd
E knox/sandstone_dark
E knox/sandstone_light
E knox/sandstone_light_trim
E knox/sandstone_light2
E knox/sandstone_lightFLAT
E knox/sandstone_medium
M knox/vault_door
M knox/vault_door_edgea
M knox/vault_door_edgeb
M knox/vault_door_nobar
M knox/vault_steel
U knox/window_short
U knox/window_short_bars
U knox/window_tall
U knox/window_tall_bars

/////////////////////////////////////
//caviar
/////////////////////////////////////

M caviar/Cargo_DoorTrim
M caviar/CargoDoor_Button
W caviar/Cav_Crate_a_front
W caviar/Cav_Crate_a_side
W caviar/Cav_Crate_a_top
W caviar/Cav_Crate_b_front
W caviar/Cav_Crate_b_side
W caviar/Cav_Crate_b_top
W caviar/Cav_Paper_a_front
W caviar/Cav_Paper_a_side
W caviar/Cav_Paper_a_top
W caviar/Compactor_decal
E caviar/ConcAlgae_high1
E caviar/ConcAlgae_low1
E caviar/Concrete_Brown01
E caviar/DirtyConcrete_01
M caviar/door_BluePaintedMetal
M caviar/ExBarrel_side1
M caviar/ExBarrel_side2
M caviar/ExBarrel_top1
M caviar/ExBarrel_top2
M caviar/GarageDoor_slats
M caviar/hand_wire
M caviar/metal_alum_01b
M caviar/metal_aluminum_64
M caviar/metal_aluminumpipe
M caviar/metal_aluminumrust
M caviar/metal_aluminumrust_00
M caviar/metal_aluminumrust_01
M caviar/metal_aluminumrust_01a
M caviar/metal_aluminumrust_02
M caviar/metal_baseflat_01
M caviar/metal_corrugated
M caviar/metal_corrugated_01a
M caviar/metal_corrugated_02
M caviar/metal_corrugated_02_wdm
M caviar/metal_corrugated_02a
M caviar/metal_corrugated_03
M caviar/metal_corrugated_03_wdm
M caviar/metal_corrugated_wdm
M caviar/metalpenrusted_01
M caviar/metalpenrusted_01-24_064x064
M caviar/metalpenrusted_01-32_064x064
M caviar/metalpenrusted_02b
M caviar/metalpenrusted_02c
M caviar/metalpenrusted_02ca_064x064
M caviar/metalpenrusted_02d
M caviar/metalpenrusted_02f
M caviar/metalpenrusted_02g
M caviar/metalpenrusted_02h
M caviar/metalpenrusted_planks2_064x064
M caviar/metalpenrusted_planks4_064x064
M caviar/metalpenrusted_red01ca_064x064
M caviar/metalpenrusted_red01cb_064x064
M caviar/metalpenrusted64_02c
M caviar/metalpenrusted64_02d
M caviar/MetalWall_BrickBase
M caviar/MetalWall_ConcBase
M caviar/Plain_cargo_doors
M caviar/Plain_cargo_end
M caviar/Plain_cargo_side
M caviar/Plain_cargo_top
M caviar/PlyCrate_Plastic
M caviar/Rain_gutters
M caviar/Roof_truss
M caviar/SCROLL_GAR008
M caviar/TarPaper_01
M caviar/wall_corrbig
M caviar/wall_corrbig_02
M caviar/wall_corrbig_bot
M caviar/wall_corrbig_top
M caviar/wall_corrbolted
M caviar/wall_corrend
M caviar/wall_corrvent
M caviar/wall_corrwall
E caviar/wall_pv_m1base
E caviar/wall_pv_m2
E caviar/wall_pv_m4
E caviar/wall_pv_m5
G caviar/window_caviar_01
G caviar/window_caviar_02
U caviar/window_caviar_03
U caviar/window_caviar_04
U caviar/window_caviar_05
U caviar/window_caviar_06
U caviar/window_caviar_07
U caviar/window_caviar_08
U caviar/window_caviar_09
U caviar/window_caviar_10
U caviar/window_caviar_11
W caviar/window_door_02
W caviar/wood_beam_02
W caviar/wood_beam_03
W caviar/wood_cross_01
W caviar/wood_general
W caviar/wood_lightpole
W caviar/wood_lightpole_01
W caviar/wood_plank01postuprightbase_01a
W caviar/wood_plank01postuprightbase_01b
W caviar/wood_plank01postuprightbase_01bb
W caviar/wood_plank01postuprightbase_01c
W caviar/wood_plank01postuprightpoop_01a
W caviar/wood_plank01postuprightpoop_01aa
W caviar/wood_plank01postuprightpoop_01b
W caviar/wood_plank01postuprightpoop_01bb
W caviar/wood_planks_04
W caviar/wood_planks_04a
W caviar/wood_planks_06a
W caviar/wood_planks_06alt1
W caviar/wood_planks_06alt1a
W caviar/wood_planks_06alt2
W caviar/wood_planks_06alt2a
W caviar/wood_planks_6cbase
W caviar/wood_planks_6cbase2
W caviar/wood_planks_6e
W caviar/wood_planks_6ee
W caviar/wood_planks_dm
W caviar/wood_planks_dm_064x064
W caviar/wood_planks_dmOLD
W caviar/wood_rail_01
W caviar/wood_rail_02
W caviar/Wood_WeatheredBoards
M caviar/Zuk_cargo_end
M caviar/Zuk_cargo_side
M caviar/Zuk_cargo_top
M caviar/Zuk_CaviarTank1
M caviar/Zuk_CaviarTankAxel
M caviar/Zuk_CaviarTankStirrer
M caviar/Zuk_CaviarTankTop
M caviar/Zuk_compactorFront
M caviar/Zuk_CompactorSides
M caviar/Zuk_ConsoleBase
M caviar/Zuk_consoleFront
M caviar/Zuk_consoleSide
W caviar/Zuk_Crate_a_front
W caviar/Zuk_Crate_a_side
W caviar/Zuk_Crate_a_top
W caviar/Zuk_Crate_b_front
W caviar/Zuk_Crate_b_side
W caviar/Zuk_Crate_b_top
W caviar/Zuk_decal
W caviar/Zuk_decal2
M caviar/Zuk_door_BluePaintedMetal
W caviar/Zuk_door_TanPeelingWood
M caviar/Zuk_ElecFront01
M caviar/Zuk_ElecSide1
W caviar/Zuk_FencePost
W caviar/Zuk_Fencing
M caviar/Zuk_GarageDoor
E caviar/Zuk_LargeAC
E caviar/Zuk_MetalWalls
E caviar/Zuk_Paper_a_front
E caviar/Zuk_Paper_a_side
E caviar/Zuk_Paper_a_top
E caviar/Zuk_PlyCrate_Plastic
E caviar/Zuk_PlyCrate_side
E caviar/Zuk_PlyCrate_top
M caviar/Zuk_SmallAC
M caviar/Zuk_SmallAC_side
